english,portugues
probably,provavelmente
beautiful,lindo
doctor,doutor
sit,sentar
eat,comer
thinking,pensamento
young,jovem
second,segundo
working,trabalhando
water,água
person,pessoa
part,papel
kids,crianças
late,tarde
stuff,coisa
exactly,exatamente
under,sob
death,morte
minute,minuto
pay,pagar
crazy,louco
forget,esquecer
everybody,todo mundo
kid,criança
change,mudar
gave,deu
happen,acontecer
damn,droga
five,cinco
drink,bebida
far,distante
knows,sabe
its,isso é
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,não são
hit,bater
taking,tirando
easy,fácil
times,vezes
check,verificar
hands,mãos
minutes,minutos
deal,negócio
different,diferente
means,significa
point,apontar
inside,dentro
makes,faz
asked,perguntado
somebody,alguém
mine,meu
making,fazendo
body,corpo
afraid,com medo
sleep,dormir
chance,chance
dear,querido
quite,bastante
four,quatro
anyway,de qualquer forma
close,fechar
ain,ain
party,festa
fun,diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
shall,podemos
story,história
number,número
daughter,filha
least,ao menos
waiting,esperando
hurt,ferir
wish,desejar
moment,momento
fight,lutar
week,semana
husband,marido
girls,garotas
rest,descansar
married,casado
fire,fogo
game,jogo
nobody,ninguém
mr,senhor
children,crianças
side,lado
stand,ficar
read,ler
though,no entanto
cut,corte
started,iniciado
sister,irmã
supposed,suposto
between,entre
child,criança
goes,vai
hours,horas
speak,falar
women,mulheres
behind,atrás
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,não mais
playing,jogando
gets,recebe
shot,tomada
reason,razão
trouble,dificuldade
break,quebrar
war,guerra
city,cidade
walk,andar
town,cidade
trust,confiar
dr.,dr.
met,conheceu
office,escritório
question,pergunta
brought,trouxe
yours,seu
welcome,Bem-vindo
high,alto
wow,uau
couple,casal
half,metade
died,morreu
cool,legal
free,livre
either,qualquer
seems,parece
power,poder
whoa,Uau
bye,tchau
buy,comprar
telling,contando
honey,mel
tried,testado
front,frente
team,equipe
answer,responder
gun,pistola
boys,Rapazes
line,linha
send,enviar
news,notícias
stupid,estúpido
bed,cama
hurry,pressa
full,completo
months,meses
save,salvar
sometimes,às vezes
become,tornar-se
along,junto
hate,odiar
food,comida
outside,fora
light,luz
l,eu
needs,precisa
dog,cachorro
country,país
clear,claro
order,ordem
em,eles
fact,facto
lord,senhor
captain,capitão
six,seis
hot,quente
funny,engraçado
black,preto
mrs.,Sra.
alive,vivo
pick,escolha
feeling,sentimento
living,vivendo
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspira
sort,organizar
leaving,saindo
shouldn,deveria
running,correndo
boss,chefe
alright,tudo bem
promise,promessa
taken,levado
safe,seguro
ma,mãe
book,livro
sent,enviado
white,branco
hour,hora
anybody,qualquer pessoa
small,pequeno
perfect,perfeito
cause,causa
lives,vidas
special,especial
parents,pais
s,é
john,John
himself,ele mesmo
perhaps,talvez
sounds,sons
serious,sério
sick,doente
company,empresa
ha,ha
scared,assustado
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
shoot,atirar
touch,tocar
sound,som
top,principal
ass,bunda
laughs,ri
cannot,não pode
asking,Perguntando
win,ganhar
glad,alegre
control,ao controle
hmm,hum
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papai
finally,finalmente
chuckles,risadas
fast,rápido
cold,frio
seem,parecer
laughing,rindo
words,palavras
hospital,hospital
street,rua
hang,pendurar
dance,dança
meeting,reunião
till,até
others,outros
catch,pegar
follow,seguir
sense,senso
sex,sexo
lie,mentira
evening,noite
master,mestre
known,conhecido
dream,sonhar
write,escrever
million,milhão
voice,voz
sweet,doce
rather,em vez de
felt,sentido
sign,sinal
lucky,sortudo
somewhere,em algum lugar
bet,aposta
o,ó
jesus,Jesus
longer,mais longo
calling,ligando
worked,trabalhado
quiet,quieto
looked,visto
less,menos
pull,puxar
beat,bater
careful,cuidadoso
coffee,café
return,retornar
secret,segredo
weeks,semanas
weren,eram
date,data
seeing,vendo
fall,cair
given,dado
ooh,ah
fault,falta
straight,direto
takes,leva
song,canção
future,futuro
gentlemen,cavalheiros
loved,amado
changed,mudado
road,estrada
calm,calma
wonderful,maravilhoso
mad,louco
turned,virou
drop,derrubar
ladies,senhoras
learn,aprender
step,etapa
absolutely,absolutamente
early,cedo
explain,explicar
clean,limpar
piece,pedaço
yesterday,ontem
throw,lançar
picture,foto
land,terra
feet,pés
wonder,maravilha
questions,questões
speaking,Falando
worth,valor
darling,querido
dude,cara
giving,dando
president,Presidente
eye,olho
quick,rápido
moving,em movimento
figure,figura
state,estado
strong,forte
sam,Sam
none,nenhum
needed,necessário
goodbye,adeus
chief,chefe
wedding,casamento
am,sou
decided,decidiu
ya,sim
tired,cansado
officer,Policial
worse,pior
busy,ocupado
eh,Eh
ship,enviar
watching,assistindo
suppose,suponha
movie,filme
t,t
birthday,aniversário
tv,televisão
forgive,perdoar
instead,em vez de
film,filme
unless,a menos que
train,trem
seven,Sete
round,redondo
terrible,Terrível
george,Jorge
history,história
blue,azul
broke,quebrado
seriously,seriamente
frank,franco
joe,joão
buddy,companheiro
protect,proteger
spend,gastar
ring,anel
fool,enganar
interesting,interessante
space,espaço
box,caixa
marriage,casado
d,d
short,curto
charlie,Charlie
area,área
radio,rádio
ball,bola
crying,choro
government,governo
deep,profundo
star,estrela
major,principal
personal,pessoal
stopped,parou
hide,esconder
whether,se
bank,banco
public,público
afternoon,tarde
tea,chá
park,parque
rich,rico
missed,perdido
respect,respeito
ice,gelo
tough,difícil
sad,triste
mm-hmm,mm-hmm
within,dentro de
fly,voar
starting,iniciando
english,inglês
relationship,relação
prove,provar
lieutenant,tenente
art,arte
french,francês
lived,vivido
neither,nenhum
boyfriend,namorado
sake,interesse
carry,carregar
teach,ensinar
contact,contato
huge,enorme
jail,cadeia
likes,gosta
lawyer,advogado
doubt,dúvida
driving,dirigindo
village,Vila
decision,decisão
south,sul
slow,lento
laughter,risada
island,ilha
plane,avião
singing,cantoria
truck,caminhão
grab,pegar
support,apoiar
partner,parceiro
reach,alcançar
wind,vento
colonel,coronel
seconds,segundos
thousand,mil
gives,dá
experience,experiência
upon,sobre
computer,computador
christ,Cristo
dirty,sujo
holding,contenção
suddenly,de repente
usually,geralmente
lots,grande quantidade
yo,ei
grow,crescer
worst,pior
patient,paciente
aah,ah
m,eu
everywhere,em todos os lugares
moon,lua
gasps,suspiros
yep,sim
shh,shh
drinking,bebendo
blame,culpa
crap,besteira
mission,missão
heaven,paraíso
books,livros
further,avançar
danny,Danny
action,Ação
orders,pedidos
otherwise,de outra forma
pictures,fotos
awesome,incrível
smile,sorriso
director,diretor
begin,começar
spot,ver
enemy,inimigo
alex,Alexandre
gay,homossexual
earlier,mais cedo
jim,Jim
according,de acordo com
low,baixo
helping,ajudando
admit,Admitem
names,nomes
jimmy,Jimmy
sergeant,sargento
helped,ajudou
taste,gosto
locked,bloqueado
writing,escrita
starts,começa
sold,vendido
silly,bobagem
mention,menção
lock,trancar
leg,perna
seemed,pareceu
engine,motor
applause,aplausos
however,no entanto
ms.,EM.
stole,roubou
study,estudar
reading,leitura
treat,tratar
roll,rolar
spirit,espírito
plans,planos
bathroom,banheiro
flight,voo
raise,elevação
client,cliente
suspect,suspeito
van,furgão
heavy,pesado
wild,selvagem
simply,simplesmente
lee,sotavento
animal,animal
guns,armas
whom,a quem
bird,pássaro
majesty,majestade
beauty,beleza
awful,horrível
goddamn,Maldito
jane,Jane
grace,graça
wondering,imaginando
pants,calça
c,c
beg,implorar
opportunity,oportunidade
german,alemão
whoever,quem quer que seja
cook,cozinhar
hall,salão
main,principal
knife,faca
although,embora
flying,vôo
rose,rosa
clearly,claramente
due,devido
apologize,desculpar-se
stars,estrelas
leader,líder
leaves,folhas
east,leste
shouting,gritando
ghost,fantasma
cup,xícara
hanging,pendurado
hardly,dificilmente
cousin,primo
ought,deveria
account,conta
tape,fita
vote,voto
plays,tocam
cake,bolo
operation,Operação
crew,equipe
challenge,desafio
meat,carne
towards,em direção a
bringing,trazendo
strength,força
loud,alto
bridge,ponte
arrested,preso
horrible,horrível
checked,verificado
older,mais velho
nonsense,Absurdo
prepared,preparado
travel,viagem
incredible,incrível
teeth,dentes
chinese,chinês
truly,verdadeiramente
bobby,bobby
target,alvo
fake,falso
sweetie,docinho
oil,óleo
suicide,suicídio
belong,pertencer
amy,amy
forgotten,esquecido
remain,permanecer
papa,papai
onto,para
invited,convidamos
easier,mais fácil
view,visualizar
chair,cadeira
strike,batida
sheriff,xerife
kim,Kim
turning,girando
audience,público
all,todos
comfortable,confortável
guest,convidado
dry,seco
female,fêmea
pray,rezar
unfortunately,infelizmente
destroyed,destruído
universe,universo
program,programa
base,base
matters,assuntos
lift,elevador
cream,creme
selling,vendendo
created,criada
realized,percebeu
british,britânico
noise,barulho
social,social
bodies,corpos
kevin,Kevin
ryan,Ryan
followed,seguido
purpose,propósito
letters,cartas
daniel,Daniel
opening,abertura
anna,Ana
lately,ultimamente
ends,termina
suggest,sugerir
fucked,fodido
desk,mesa
property,propriedade
gang,gangue
disappeared,desaparecido
kinda,tipo
horses,cavalos
handsome,bonito
saturday,sábado
staff,funcionários
recently,recentemente
add,adicionar
signed,assinado
brings,traz
access,acesso
flat,plano
easily,facilmente
community,comunidade
basically,basicamente
shake,sacudir
loose,solto
russian,russo
lake,lago
post,publicar
pete,Pete
amount,quantia
manage,gerenciar
harder,mais difícil
fbi,FBI
chef,chefe de cozinha
contract,contrato
dig,escavação
brian,Brian
trade,troca
stomach,estômago
details,detalhes
divorce,divórcio
funeral,funeral
maria,Maria
theory,teoria
william,William
coat,casaco
castle,castelo
personally,pessoalmente
permission,permissão
lesson,lição
lover,amante
bread,pão
caused,causado
points,pontos
loss,perda
secretary,secretário
revenge,vingança
santa,Papai Noel
connection,conexão
assistant,assistente
reasons,razões
yelling,gritando
foreign,estrangeiro
pocket,bolso
farm,fazenda
obvious,óbvio
tim,tempo
alan,Alan
square,quadrado
clock,relógio
ocean,oceano
dna,ADN
bleep,bip
lisa,lisa
competition,concorrência
smith,ferreiro
planned,planejado
plant,plantar
knocking,batendo
re,ré
silver,prata
madame,senhora
complicated,complicado
priest,padre
invite,convidar
tears,lágrimas
avoid,evitar
higher,mais alto
familiar,familiar
telephone,Telefone
burning,queimando
airport,aeroporto
jobs,empregos
giant,gigante
n,n
pleased,satisfeito
stops,para
repeat,repita
finds,encontra
statement,declaração
younger,mais jovem
china,China
delicious,delicioso
attacked,atacado
hired,contratado
map,mapa
eventually,eventualmente
powers,poderes
assume,presumir
fixed,fixo
data,dados
per,por
positive,positivo
clock,relógio
doin,fazendo
forces,forças
saving,salvando
speaks,fala
deliver,entregar
temple,têmpora
grave,cova
chase,perseguir
odd,chance
becomes,torna-se
affair,assunto
shock,choque
raised,criado
image,imagem
golden,dourado
watched,assistido
committed,empenhado
suffer,sofrer
shots,tiros
dealing,tratativa
trap,armadilha
poison,tóxico
butt,bunda
drove,dirigiu
yourselves,vocês mesmos
headed,dirigido
sat,sentado
courage,coragem
italian,italiano
winner,ganhador
crack,rachadura
chose,escolheu
healthy,saudável
carl,Carlos
victory,vitória
stood,permaneceu
palace,Palácio
march,marchar
lips,lábios
piss,xixi
india,Índia
aside,aparte
mail,correspondência
freak,doido
wood,madeira
awake,acordado
vacation,férias
violence,violência
modern,moderno
luke,Lucas
gods,Deuses
taxi,Táxi
desire,desejo
claire,Clara
songs,músicas
burned,queimado
rescue,resgatar
result,resultado
governor,governador
text,texto
remove,remover
rate,avaliar
scream,gritar
josh,Josh
scoffs,zomba
hundreds,centenas
sue,processar
bags,bolsas
appears,parece
remains,restos
issues,problemas
pissed,chateado
friendship,amizade
desperate,desesperado
flower,flor
dramatic,dramático
theme,tema
properly,apropriadamente
chuck,mandril
FALSE,FALSO
junior,júnior
germany,Alemanha
africa,África
borrow,emprestar
winning,ganhando
popular,popular
convinced,convencido
warn,avisar
champagne,champanhe
someday,algum dia
presence,presença
st.,rua.
technology,tecnologia
tires,pneus
toast,brinde
clark,Clark
hank,Hank
ls,eu
april,abril
wolf,lobo
considered,considerado
steps,passos
signs,sinais
cab,táxi
ordinary,ordinário
houses,casas
brains,cérebros
california,Califórnia
ll,tudo
expert,especialista
series,Series
pilot,piloto
jackson,Jackson
darkness,escuridão
sale,oferta
spoken,falada
juice,suco
wheel,roda
julie,Júlia
sacrifice,sacrifício
range,faixa
parking,estacionamento
campaign,campanha
mon,seg
moments,momentos
trapped,encurralado
defend,defender
merry,alegre
zone,zona
emperor,imperador
sentence,frase
leading,principal
jones,Jones
engaged,noivo
jamie,jamie
workers,trabalhadores
similar,semelhante
understanding,entendimento
chain,corrente
collect,coletar
writer,escritor
bastards,bastardos
id,eu ia
blows,golpes
maggie,Maggie
sobbing,soluçando
despite,apesar de
alcohol,álcool
conference,conferência
provide,fornecer
seek,procurar
witnesses,testemunhas
fashion,moda
episode,episódio
debt,dívida
hitler,Hitler
remembered,lembrei
percent,por cento
authority,autoridade
current,atual
nightmare,pesadelo
glory,glória
knocked,bateu
studying,estudo
films,filmes
salt,sal
anne,Ana
highly,altamente
sand,areia
setting,contexto
hates,odeia
fed,alimentado
reward,recompensa
patrick,Patrício
ships,navios
parties,festas
terry,Terry
slip,escorregar
disappointed,decepcionado
alert,alerta
pink,rosa
panic,pânico
minds,mentes
blowing,sopro
agreement,acordo
jackie,jackie
culture,cultura
saint,santo
intend,pretende
custody,custódia
ignore,ignorar
useful,útil
policy,política
violent,violento
bow,arco
revolution,revolução
online,on-line
demon,demônio
heavily,fortemente
coincidence,coincidência
perform,executar
terrific,maravilhoso
crown,coroa
virgin,virgem
impressive,impressionante
advance,avançar
quietly,silenciosamente
hurting,machucando
drew,atraiu
threatened,ameaçado
subtitles,legendas
unique,exclusivo
chasing,perseguindo
slave,escravo
lets,vamos
cruel,cruel
mask,mascarar
bury,enterrar
pathetic,patético
species,espécies
approaching,Aproximando
loan,empréstimo
trusted,confiável
jumped,saltou
channel,canal
erm,hum
bound,vinculado
quality,qualidade
cheer,alegrar
shoe,sapato
shy,tímido
you,você
impressed,impressionado
bowl,tigela
roy,Roy
dollar,dólar
tone,tom
voices,vozes
i,eu
confess,confessar
museum,museu
frightened,com medo
crossed,cruzado
lou,Lou
sandwich,sanduíche
laws,leis
joint,articulação
bullets,balas
baseball,beisebol
tuesday,terça-feira
joseph,Joseph
hong,Hong
oliver,Oliver
wilson,Wilson
decisions,decisões
charity,caridade
considering,considerando
donna,dona
flag,bandeira
kidnapped,seqüestrado
entered,entrou
jay,gaio
reaction,reação
network,rede
jessica,Jéssica
version,versão
defeat,derrota
wounded,ferido
charlotte,Charlotte
bars,bares
specific,específico
term,prazo
reported,relatado
mysterious,misterioso
tunnel,túnel
neighbor,vizinho
sweat,suor
ghosts,fantasmas
crimes,crimes
dreaming,sonhando
el,el
kong,kong
mason,pedreiro
surrender,render
kitty,gatinha
pee,urina
cave,caverna
launch,lançar
golf,golfe
imagination,imaginação
tax,imposto
edward,Eduardo
texas,texas
skull,crânio
shown,mostrando
champion,campeão
throughout,por todo
nathan,natan
describe,descrever
servant,servo
cap,boné
beaten,espancado
fans,fãs
brand,marca
stephen,Estevão
rabbit,coelho
plain,simples
rebecca,Rebeca
removed,removido
jewish,judaico
crystal,cristal
contest,concurso
centre,Centro
tina,Tina
standard,padrão
ellen,Ellen
inform,informar
status,status
prints,estampas
delivered,entregue
buck,bode
confirmed,confirmado
trigger,acionar
cells,células
ali,todos
cancel,cancelar
turkey,peru
hannah,Ana
generous,generoso
gain,ganho
link,link
underground,subterrâneo
mistress,amante
identify,identificar
chip,lasca
uses,usa
underneath,debaixo de
tribe,tribo
equal,igual
nephew,sobrinho
costume,fantasia
pet,bicho de estimação
digging,escavação
cleaned,limpo
visiting,visitando
jews,judeus
someplace,algum lugar
citizens,cidadãos
aim,mirar
electric,elétrico
environment,ambiente
western,ocidental
ease,facilidade
satisfied,satisfeito
r,R
forth,adiante
frozen,congeladas
prayer,oração
angeles,anjos
actions,ações
martha,marta
booth,cabine
packed,embalado
wrap,enrolar
randy,excitado
trunk,porta-malas
beside,ao lado
motive,motivo
backup,cópia de segurança
adventure,aventura
p,p
ve,eu
dylan,Dylan
owns,possui
thus,por isso
clay,argila
developed,desenvolvido
atmosphere,atmosfera
freaking,maldito
rotten,podre
meantime,entretanto
hills,colinas
comment,Comente
slightly,um pouco
produce,produzir
annoying,chato
judgment,julgamento
lousy,nojento
existence,existência
ward,ala
plants,plantas
actress,atriz
sink,afundar
confident,confiante
policeman,policial
precisely,precisamente
lawyers,advogados
greek,grego
criminals,criminosos
appeared,apareceu
derek,Derek
colour,cor
cried,chorou
footage,imagens de vídeo
mud,lama
ad,de Anúncios
francis,Francisco
angels,anjos
hers,dela
mm-hm,mm-hm
blah,blá
britain,Grã-Bretanha
countries,países
vic,vítima
rats,ratos
wondered,me perguntei
smooth,suave
resist,resistir
fantasy,fantasia
passport,Passaporte
authorities,autoridades
photograph,fotografia
mickey,Mickey
farewell,até a próxima
clouds,nuvens
deaf,surdo
snap,foto
twelve,doze
cheated,enganado
humanity,humanidade
producer,produtor
pays,paga
gene,gene
l.a.,eu.a.
intense,intenso
grey,cinza
talkin,falando
terrorist,terrorista
gus,Gus
thirty,trinta
stable,estábulo
ripped,rasgado
bush,arbusto
gates,portões
tastes,gostos
whirring,zumbido
meanwhile,enquanto isso
academy,Academia
consequences,consequências
caroline,Carolina
keith,Keith
monsters,monstros
joining,juntando-se
chamber,câmara
ethan,Ethan
instance,instância
pin,alfinete
investigating,investigando
cole,Cole
cries,chora
rita,Rita
southern,sulista
blocks,blocos
begun,começou
maya,maia
liver,fígado
surgeon,cirurgião
granted,garantido
july,julho
typical,típica
kicking,chutando
moron,idiota
latin,latim
dragged,arrastada
helpful,útil
powder,pó
bum,vagabundo
fort,forte
choices,escolhas
alley,beco
supper,jantar
penis,pênis
pole,pólo
coke,Coca
scientist,cientista
liquor,licor
liberty,liberdade
philip,Philip
thirsty,sedento
ashley,Ashley
random,aleatório
driven,dirigido
trauma,trauma
knee,joelho
conversations,conversas
peaceful,pacífico
humming,cantarolando
washed,lavado
troubles,problemas
painted,pintado
the,o
goat,cabra
objection,objeção
punish,punir
eternal,eterno
lois,lois
and,e
required,obrigatório
victoria,Vitória
fabulous,fabuloso
stabbed,esfaqueado
tend,tratar
locker,armário
development,desenvolvimento
images,imagens
global,global
sharing,compartilhamento
fits,encaixa
forms,formulários
votes,votos
propose,propor
abuse,Abuso
survival,sobrevivência
zoe,Zoé
admiral,almirante
pro,pró
wealth,fortuna
shoulders,ombros
counts,conta
profit,lucro
warehouse,armazém
hostage,refém
shore,costa
bo,bom
causing,causando
heal,curar
honeymoon,lua de mel
enormous,enorme
testimony,testemunho
indians,índios
commission,comissão
nicole,Nicole
branch,filial
occurred,ocorreu
beans,feijões
pages,Páginas
assignment,atribuição
blonde,loiro
catching,pegando
dont,não
han,Han
whistling,assobio
shaking,tremendo
facility,instalação
clicking,clicando
symbol,símbolo
motor,motor
cookies,biscoitos
toys,brinquedos
magnificent,magnífico
leaders,líderes
herr,senhor
deadly,mortal
bee,abelha
wicked,malvado
native,nativo
poetry,poesia
shortly,Em breve
chin,queixo
explained,explicado
appearance,aparência
sends,envia
pork,carne de porco
payment,pagamento
structure,estrutura
magical,mágico
madness,loucura
roads,estradas
manner,maneiras
freezing,congelando
battery,bateria
pound,libra
statue,estátua
brick,tijolo
lap,colo
concept,conceito
rub,esfregar
sail,velejar
hip,quadril
log,registro
poem,poema
polish,polonês
mia,minha
tons,toneladas
satellite,satélite
entering,entrando
budget,orçamento
temporary,temporário
sonny,filho
plot,trama
riley,riley
proposal,proposta
sticks,Gravetos
manners,maneiras
twist,torção
neil,Neil
item,item
sighing,suspirando
affect,afetar
necessarily,necessariamente
provided,oferecido
meters,metros
torn,rasgado
betray,trair
cowboy,vaqueiro
dive,mergulho
amber,âmbar
vast,grande
counter,contador
marine,marinho
require,exigir
moscow,Moscou
washing,lavando
causes,causas
mo,mo
dope,droga
noah,Noé
rising,ascendente
eats,come
employee,funcionário
terrified,aterrorizado
fund,fundo
suggesting,sugerindo
fleet,frota
editor,editor
assumed,assumido
mel,mel
engines,motores
horror,Horror
wrapped,envolto
tragic,trágico
carla,Karla
demons,demônios
rounds,rodadas
gathered,coletado
travis,Travis
delicate,delicado
leslie,Leslie
lauren,Lauren
holmes,holmes
permit,permitir
towel,toalha
rangers,guardas
passengers,passageiros
con,vigarista
cellphone,celular
bunny,coelhinho
gunfire,tiros
shining,brilhando
skill,habilidade
petty,pequeno
raising,subindo
mitch,mitch
diego,Diego
promotion,promoção
forgiveness,perdão
permanent,permanente
spencer,Spencer
unfair,injusto
polite,educado
conduct,conduta
prayers,orações
avenue,Avenida
poisoned,envenenado
complaining,reclamando
senses,sentidos
grows,cresce
celebrating,a comemorar
tag,marcação
requires,requer
worn,desgastado
lands,terras
grounds,motivos
guardian,guardião
yen,iene
immunity,imunidade
pearl,pérola
soccer,futebol
adrian,Adriano
priority,prioridade
happier,mais feliz
root,raiz
conflict,conflito
laughed,sorriu
concerns,preocupações
celebration,celebração
unconscious,inconsciente
breasts,seios
fee,taxa
recognise,reconhecer
wade,vadear
radiation,radiação
lungs,pulmões
register,registro
shadows,sombras
ronnie,Ronnie
gina,Gina
lance,lança
bloke,cara
explode,explodir
hunger,fome
closest,mais próximo
seth,conjunto
develop,desenvolver
detectives,detetives
organized,organizado
franklin,Franklin
vulnerable,vulnerável
vital,vital
ace,ás
voted,votado
muffled,abafado
mmm-hmm,mmm-hmm
luggage,bagagem
groom,noivo
lighter,isqueiro
alliance,aliança
buddies,parceiro
denied,negado
stations,estações
samantha,Samanta
spiritual,espiritual
stab,facada
unexpected,inesperado
basket,cesta
tara,tara
toes,dedos do pé
instant,instante
scan,Varredura
overnight,durante a noite
bait,isca
lean,magro
rex,Rex
bump,ressalto
supreme,supremo
mankind,humanidade
broad,largo
connor,conor
deaths,mortes
elements,elementos
coma,coma
deposit,depósito
injuries,lesões
posted,postou
assistance,assistência
lamp,lâmpada
rubber,borracha
personnel,pessoal
beam,feixe
counselor,conselheiro
corrected,corrigido
journalist,jornalista
operator,operador
singh,singh
i.d.,eu ia.
anderson,anderson
lip,lábio
acid,ácido
nora,nora
anonymous,anônimo
inn,Pousada
planted,plantado
breast,seios
error,erro
scum,escumalha
described,descrito
react,reagir
cows,vacas
harsh,severo
communicate,comunicar
hector,Hector
uh-uh,uh-uh
photographer,fotógrafo
trevor,Trevor
freddy,freddy
excuses,desculpas
crushed,esmagado
del,del
rap,rap
hopeless,sem esperança
profession,profissão
ahem,aham
pale,pálido
significant,significativo
helmet,capacete
envelope,envelope
african,africano
rosa,Rosa
oven,forno
sonic,sônica
melissa,Melissa
raid,ataque
jon,João
bailey,bailey
existed,existia
requested,Requeridos
motorcycle,motocicleta
adopted,adotado
surprises,surpresas
rosie,Rosie
tapes,fitas
dull,chato
dug,cavado
arriving,A chegar
kindness,gentileza
frog,sapo
claimed,reivindicado
eleven,onze
boarding,embarque
fist,punho
improve,melhorar
creation,criação
infection,infecção
wiped,apagado
tension,tensão
whistles,assobios
certificate,certificado
threats,ameaças
claudia,Cláudia
sid,sid
affected,afetado
envy,inveja
whale,baleia
imperial,imperial
signing,assinando
villa,vila
candles,velas
filling,enchimento
becky,Becky
positions,posições
