english,portugues
probably,provavelmente
beautiful,lindo
doctor,doutor
sit,sentar
eat,comer
thinking,pensamento
young,jovem
second,segundo
working,trabalhando
water,água
person,pessoa
part,papel
kids,crianças
late,tarde
stuff,coisa
exactly,exatamente
under,sob
death,morte
minute,minuto
pay,pagar
crazy,louco
forget,esquecer
everybody,todo mundo
kid,criança
change,mudar
gave,deu
happen,acontecer
damn,droga
five,cinco
drink,bebida
far,distante
knows,sabe
its,isso é
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,não são
hit,bater
taking,tirando
easy,fácil
times,vezes
check,verificar
hands,mãos
minutes,minutos
deal,negócio
different,diferente
means,significa
point,apontar
inside,dentro
makes,faz
asked,perguntado
somebody,alguém
mine,meu
making,fazendo
body,corpo
afraid,com medo
sleep,dormir
chance,chance
dear,querido
quite,bastante
four,quatro
anyway,de qualquer forma
close,fechar
ain,ain
party,festa
fun,diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
shall,podemos
story,história
number,número
daughter,filha
least,ao menos
waiting,esperando
hurt,ferir
wish,desejar
moment,momento
fight,lutar
week,semana
husband,marido
girls,garotas
rest,descansar
married,casado
fire,fogo
game,jogo
nobody,ninguém
mr,senhor
children,crianças
side,lado
stand,ficar
read,ler
though,no entanto
cut,corte
started,iniciado
sister,irmã
supposed,suposto
between,entre
child,criança
goes,vai
hours,horas
speak,falar
women,mulheres
behind,atrás
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,não mais
playing,jogando
gets,recebe
shot,tomada
reason,razão
trouble,dificuldade
break,quebrar
war,guerra
city,cidade
walk,andar
town,cidade
trust,confiar
dr.,dr.
met,conheceu
office,escritório
question,pergunta
brought,trouxe
yours,seu
welcome,Bem-vindo
high,alto
wow,uau
couple,casal
half,metade
died,morreu
cool,legal
free,livre
either,qualquer
seems,parece
power,poder
whoa,Uau
bye,tchau
buy,comprar
telling,contando
honey,mel
tried,testado
front,frente
team,equipe
answer,responder
gun,pistola
boys,Rapazes
line,linha
send,enviar
news,notícias
stupid,estúpido
bed,cama
hurry,pressa
full,completo
months,meses
save,salvar
sometimes,às vezes
become,tornar-se
along,junto
hate,odiar
food,comida
outside,fora
light,luz
l,eu
needs,precisa
dog,cachorro
country,país
clear,claro
order,ordem
em,eles
fact,facto
lord,senhor
captain,capitão
six,seis
hot,quente
funny,engraçado
black,preto
mrs.,Sra.
alive,vivo
pick,escolha
feeling,sentimento
living,vivendo
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspira
sort,organizar
leaving,saindo
shouldn,deveria
running,correndo
boss,chefe
alright,tudo bem
promise,promessa
taken,levado
safe,seguro
ma,mãe
book,livro
sent,enviado
white,branco
hour,hora
anybody,qualquer pessoa
small,pequeno
perfect,perfeito
cause,causa
lives,vidas
special,especial
parents,pais
s,é
john,John
himself,ele mesmo
perhaps,talvez
sounds,sons
serious,sério
sick,doente
company,empresa
ha,ha
scared,assustado
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
shoot,atirar
touch,tocar
sound,som
top,principal
ass,bunda
laughs,ri
cannot,não pode
asking,Perguntando
win,ganhar
glad,alegre
control,ao controle
hmm,hum
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papai
finally,finalmente
chuckles,risadas
fast,rápido
cold,frio
seem,parecer
laughing,rindo
words,palavras
hospital,hospital
street,rua
hang,pendurar
dance,dança
meeting,reunião
till,até
others,outros
catch,pegar
follow,seguir
sense,senso
sex,sexo
lie,mentira
evening,noite
master,mestre
known,conhecido
dream,sonhar
write,escrever
million,milhão
voice,voz
sweet,doce
rather,em vez de
felt,sentido
sign,sinal
lucky,sortudo
somewhere,em algum lugar
bet,aposta
o,ó
jesus,Jesus
longer,mais longo
calling,ligando
worked,trabalhado
quiet,quieto
looked,visto
less,menos
pull,puxar
beat,bater
careful,cuidadoso
coffee,café
return,retornar
secret,segredo
weeks,semanas
weren,eram
date,data
seeing,vendo
fall,cair
given,dado
ooh,ah
fault,falta
straight,direto
takes,leva
song,canção
future,futuro
gentlemen,cavalheiros
loved,amado
changed,mudado
road,estrada
calm,calma
wonderful,maravilhoso
mad,louco
turned,virou
drop,derrubar
ladies,senhoras
learn,aprender
step,etapa
absolutely,absolutamente
early,cedo
explain,explicar
clean,limpar
piece,pedaço
yesterday,ontem
throw,lançar
picture,foto
land,terra
feet,pés
wonder,maravilha
questions,questões
speaking,Falando
worth,valor
darling,querido
dude,cara
giving,dando
president,Presidente
eye,olho
quick,rápido
moving,em movimento
figure,figura
state,estado
strong,forte
sam,Sam
none,nenhum
amazing,Carregando…
ones,Carregando…
works,Carregando…
act,Carregando…
needed,necessário
weird,Carregando…
law,Carregando…
worried,Carregando…
report,Carregando…
goodbye,adeus
missing,Carregando…
choice,Carregando…
happening,Carregando…
chief,chefe
wedding,casamento
strange,Carregando…
general,Carregando…
pain,Carregando…
am,sou
kidding,Carregando…
decided,decidiu
ya,sim
pass,Carregando…
tired,cansado
class,Carregando…
officer,Policial
kept,Carregando…
wake,Carregando…
worse,pior
busy,ocupado
eh,Eh
mistake,Carregando…
kiss,Carregando…
court,Carregando…
building,Carregando…
finish,Carregando…
during,Carregando…
age,Carregando…
ship,enviar
caught,Carregando…
marry,Carregando…
meant,Carregando…
sell,Carregando…
dark,Carregando…
watching,assistindo
system,Carregando…
suppose,suponha
evidence,Carregando…
movie,filme
ride,Carregando…
t,t
completely,Carregando…
mouth,Carregando…
totally,Carregando…
birthday,aniversário
tv,televisão
forgive,perdoar
born,Carregando…
imagine,Carregando…
information,Carregando…
instead,em vez de
definitely,Carregando…
security,Carregando…
certainly,Carregando…
film,filme
month,Carregando…
lying,Carregando…
unless,a menos que
train,trem
seven,Sete
wear,Carregando…
clothes,Carregando…
michael,Carregando…
hotel,Carregando…
christmas,Carregando…
attack,Carregando…
hasn,Carregando…
round,redondo
expect,Carregando…
sing,Carregando…
terrible,Terrível
george,Jorge
bag,Carregando…
history,história
blue,azul
near,Carregando…
broke,quebrado
station,Carregando…
seriously,seriamente
forever,Carregando…
david,Carregando…
frank,franco
except,Carregando…
thinks,Carregando…
message,Carregando…
entire,Carregando…
joe,joão
table,Carregando…
talked,Carregando…
across,Carregando…
rock,Carregando…
lovely,Carregando…
handle,Carregando…
middle,Carregando…
buddy,companheiro
paid,Carregando…
protect,proteger
using,Carregando…
floor,Carregando…
ran,Carregando…
swear,Carregando…
spend,gastar
situation,Carregando…
ring,anel
anywhere,Carregando…
dangerous,Carregando…
bill,Carregando…
york,Carregando…
army,Carregando…
lead,Carregando…
bought,Carregando…
finished,Carregando…
fair,Carregando…
sun,Carregando…
letter,Carregando…
fool,enganar
attention,Carregando…
club,Carregando…
simple,Carregando…
interesting,interessante
space,espaço
test,Carregando…
box,caixa
group,Carregando…
single,Carregando…
sitting,Carregando…
marriage,casado
join,Carregando…
fear,Carregando…
d,d
peace,Carregando…
forgot,Carregando…
force,Carregando…
short,curto
normal,Carregando…
charlie,Charlie
present,Carregando…
enjoy,Carregando…
mike,Carregando…
crime,Carregando…
horse,Carregando…
ground,Carregando…
american,Carregando…
count,Carregando…
area,área
charge,Carregando…
honor,Carregando…
lunch,Carregando…
miles,Carregando…
radio,rádio
idiot,Carregando…
ball,bola
surprise,Carregando…
paper,Carregando…
key,Carregando…
boat,Carregando…
quickly,Carregando…
gold,Carregando…
bar,Carregando…
fish,Carregando…
mark,Carregando…
tom,Carregando…
wearing,Carregando…
crying,choro
accident,Carregando…
government,governo
eight,Carregando…
fell,Carregando…
cover,Carregando…
certain,Carregando…
interested,Carregando…
deep,profundo
star,estrela
sea,Carregando…
agree,Carregando…
problems,Carregando…
detective,Carregando…
prison,Carregando…
major,principal
stick,Carregando…
offer,Carregando…
difficult,Carregando…
smart,Carregando…
personal,pessoal
record,Carregando…
stopped,parou
hide,esconder
whether,se
bank,banco
trip,Carregando…
relax,Carregando…
america,Carregando…
public,público
list,Carregando…
afternoon,tarde
brain,Carregando…
fix,Carregando…
bastard,Carregando…
proud,Carregando…
tea,chá
service,Carregando…
screaming,Carregando…
forward,Carregando…
angry,Carregando…
park,parque
soul,Carregando…
fighting,Carregando…
peter,Carregando…
rich,rico
agent,Carregando…
blow,Carregando…
paul,Carregando…
dress,Carregando…
mary,Carregando…
missed,perdido
scene,Carregando…
killing,Carregando…
standing,Carregando…
saved,Carregando…
mm,Carregando…
respect,respeito
killer,Carregando…
ice,gelo
mess,Carregando…
tough,difícil
feels,Carregando…
church,Carregando…
sad,triste
cell,Carregando…
drunk,Carregando…
share,Carregando…
camera,Carregando…
mm-hmm,mm-hmm
within,dentro de
card,Carregando…
fly,voar
ben,Carregando…
girlfriend,Carregando…
laugh,Carregando…
smell,Carregando…
broken,Carregando…
mum,Carregando…
honest,Carregando…
often,Carregando…
starting,iniciando
calls,Carregando…
y,Carregando…
spent,Carregando…
third,Carregando…
english,inglês
visit,Carregando…
mama,Carregando…
judge,Carregando…
window,Carregando…
hungry,Carregando…
dare,Carregando…
relationship,relação
moved,Carregando…
prove,provar
private,Carregando…
wall,Carregando…
seat,Carregando…
i-i,Carregando…
position,Carregando…
lieutenant,tenente
realize,Carregando…
lt,Carregando…
especially,Carregando…
machine,Carregando…
walking,Carregando…
art,arte
pleasure,Carregando…
bloody,Carregando…
college,Carregando…
french,francês
involved,Carregando…
cry,Carregando…
became,Carregando…
lived,vivido
impossible,Carregando…
obviously,Carregando…
neither,nenhum
accept,Carregando…
boyfriend,namorado
besides,Carregando…
queen,Carregando…
teacher,Carregando…
cops,Carregando…
sake,interesse
loves,Carregando…
carry,carregar
teach,ensinar
apartment,Carregando…
upset,Carregando…
green,Carregando…
la,Carregando…
liked,Carregando…
cute,Carregando…
evil,Carregando…
professor,Carregando…
contact,contato
joke,Carregando…
cop,Carregando…
huge,enorme
holy,Carregando…
store,Carregando…
jail,cadeia
likes,gosta
lawyer,advogado
doubt,dúvida
continue,Carregando…
appreciate,Carregando…
cat,Carregando…
shop,Carregando…
driving,dirigindo
congratulations,Carregando…
wrote,Carregando…
village,Vila
quit,Carregando…
field,Carregando…
james,Carregando…
wine,Carregando…
decision,decisão
south,sul
sleeping,Carregando…
slow,lento
laughter,risada
island,ilha
glass,Carregando…
beginning,Carregando…
cash,Carregando…
dying,Carregando…
hundred,Carregando…
whose,Carregando…
difference,Carregando…
plane,avião
push,Carregando…
continues,Carregando…
mmm,Carregando…
singing,cantoria
eating,Carregando…
north,Carregando…
mrs,Carregando…
tree,Carregando…
madam,Carregando…
gift,Carregando…
truck,caminhão
putting,Carregando…
bear,Carregando…
board,Carregando…
grab,pegar
beer,Carregando…
stuck,Carregando…
magic,Carregando…
support,apoiar
rules,Carregando…
grunts,Carregando…
partner,parceiro
reach,alcançar
wind,vento
colonel,coronel
max,Carregando…
immediately,Carregando…
seconds,segundos
thousand,mil
gives,dá
experience,experiência
cheers,Carregando…
victim,Carregando…
upon,sobre
computer,computador
christ,Cristo
planet,Carregando…
promised,Carregando…
bus,Carregando…
henry,Carregando…
dirty,sujo
search,Carregando…
staying,Carregando…
dreams,Carregando…
arrest,Carregando…
holding,contenção
suddenly,de repente
usually,geralmente
lots,grande quantidade
shoes,Carregando…
er,Carregando…
jump,Carregando…
rid,Carregando…
yo,ei
knock,Carregando…
owe,Carregando…
harry,Carregando…
grow,crescer
worst,pior
river,Carregando…
aunt,Carregando…
patient,paciente
kitchen,Carregando…
aah,ah
fat,Carregando…
passed,Carregando…
m,eu
final,Carregando…
summer,Carregando…
bob,Carregando…
listening,Carregando…
escape,Carregando…
everywhere,em todos os lugares
moon,lua
arms,Carregando…
turns,Carregando…
address,Carregando…
ow,Carregando…
match,Carregando…
gasps,suspiros
grand,Carregando…
yep,sim
shh,shh
nervous,Carregando…
de,Carregando…
choose,Carregando…
themselves,Carregando…
decide,Carregando…
mate,Carregando…
drinking,bebendo
press,Carregando…
bother,Carregando…
foot,Carregando…
hadn,Carregando…
blame,culpa
crap,besteira
drugs,Carregando…
type,Carregando…
rings,Carregando…
mission,missão
named,Carregando…
heaven,paraíso
ii,Carregando…
picked,Carregando…
paris,Carregando…
race,Carregando…
risk,Carregando…
books,livros
further,avançar
danny,Danny
action,Ação
allowed,Carregando…
orders,pedidos
learned,Carregando…
price,Carregando…
arrived,Carregando…
nick,Carregando…
otherwise,de outra forma
pictures,fotos
fit,Carregando…
smoke,Carregando…
favor,Carregando…
played,Carregando…
notice,Carregando…
awesome,incrível
smile,sorriso
director,diretor
guard,Carregando…
begin,começar
spot,ver
surprised,Carregando…
innocent,Carregando…
narrator,Carregando…
herself,Carregando…
london,Carregando…
feelings,Carregando…
enemy,inimigo
battle,Carregando…
ourselves,Carregando…
alex,Alexandre
dollars,Carregando…
allow,Carregando…
nine,Carregando…
gay,homossexual
department,Carregando…
guilty,Carregando…
apart,Carregando…
earlier,mais cedo
duty,Carregando…
jim,Jim
suit,Carregando…
bell,Carregando…
west,Carregando…
legs,Carregando…
hero,Carregando…
destroy,Carregando…
stage,Carregando…
bunch,Carregando…
according,de acordo com
chicken,Carregando…
bigger,Carregando…
grunting,Carregando…
low,baixo
helping,ajudando
admit,Admitem
closed,Carregando…
names,nomes
witness,Carregando…
upstairs,Carregando…
arm,Carregando…
steal,Carregando…
jimmy,Jimmy
kick,Carregando…
twice,Carregando…
cross,Carregando…
ways,Carregando…
sergeant,sargento
indeed,Carregando…
gas,Carregando…
keeping,Carregando…
energy,Carregando…
pregnant,Carregando…
waste,Carregando…
helped,ajudou
fired,Carregando…
favorite,Carregando…
tony,Carregando…
taste,gosto
locked,bloqueado
places,Carregando…
writing,escrita
adam,Carregando…
brothers,Carregando…
starts,começa
prince,Carregando…
form,Carregando…
sold,vendido
silly,bobagem
mention,menção
build,Carregando…
throat,Carregando…
hole,Carregando…
figured,Carregando…
track,Carregando…
ringing,Carregando…
lock,trancar
leg,perna
above,Carregando…
hiding,Carregando…
steve,Carregando…
seemed,pareceu
breakfast,Carregando…
engine,motor
written,Carregando…
complete,Carregando…
video,Carregando…
applause,aplausos
however,no entanto
pressure,Carregando…
fresh,Carregando…
weapon,Carregando…
sky,Carregando…
ms.,EM.
stole,roubou
study,estudar
burn,Carregando…
reading,leitura
crowd,Carregando…
treat,tratar
roll,rolar
double,Carregando…
spirit,espírito
danger,Carregando…
cost,Carregando…
empty,Carregando…
level,Carregando…
memory,Carregando…
itself,Carregando…
acting,Carregando…
interest,Carregando…
nose,Carregando…
plans,planos
following,Carregando…
bathroom,banheiro
built,Carregando…
closer,Carregando…
ray,Carregando…
sarah,Carregando…
band,Carregando…
groans,Carregando…
apparently,Carregando…
excited,Carregando…
richard,Carregando…
losing,Carregando…
animals,Carregando…
flight,voo
nature,Carregando…
raise,elevação
pop,Carregando…
client,cliente
bomb,Carregando…
neck,Carregando…
suspect,suspeito
warm,Carregando…
extra,Carregando…
bottle,Carregando…
van,furgão
heavy,pesado
mommy,Carregando…
dogs,Carregando…
wild,selvagem
ridiculous,Carregando…
simply,simplesmente
lee,sotavento
animal,animal
showed,Carregando…
billy,Carregando…
shooting,Carregando…
keeps,Carregando…
camp,Carregando…
guns,armas
medical,Carregando…
shame,Carregando…
hoping,Carregando…
whom,a quem
bird,pássaro
majesty,majestade
flowers,Carregando…
famous,Carregando…
asleep,Carregando…
beauty,beleza
driver,Carregando…
keys,Carregando…
rain,Carregando…
awful,horrível
large,Carregando…
local,Carregando…
deserve,Carregando…
goddamn,Maldito
stone,Carregando…
jane,Jane
grace,graça
consider,Carregando…
weekend,Carregando…
wondering,imaginando
lay,Carregando…
plenty,Carregando…
willing,Carregando…
pants,calça
sweetheart,Carregando…
skin,Carregando…
excellent,Carregando…
asshole,Carregando…
beach,Carregando…
c,c
faith,Carregando…
beg,implorar
fuckin,Carregando…
responsible,Carregando…
military,Carregando…
cheering,Carregando…
opportunity,oportunidade
common,Carregando…
bottom,Carregando…
german,alemão
whoever,quem quer que seja
cook,cozinhar
walked,Carregando…
papers,Carregando…
justice,Carregando…
hall,salão
commander,Carregando…
drug,Carregando…
main,principal
knife,faca
devil,Carregando…
necessary,Carregando…
although,embora
princess,Carregando…
lights,Carregando…
flying,vôo
dick,Carregando…
rose,rosa
knowing,Carregando…
clearly,claramente
hat,Carregando…
agreed,Carregando…
johnny,Carregando…
corner,Carregando…
code,Carregando…
note,Carregando…
tommy,Carregando…
due,devido
correct,Carregando…
apologize,desculpar-se
language,Carregando…
stars,estrelas
faster,Carregando…
cars,Carregando…
folks,Carregando…
bullshit,Carregando…
i.,Carregando…
fellow,Carregando…
several,Carregando…
grandma,Carregando…
shows,Carregando…
leader,líder
leaves,folhas
restaurant,Carregando…
east,leste
shouting,gritando
blind,Carregando…
ghost,fantasma
cup,xícara
gotten,Carregando…
tight,Carregando…
conversation,Carregando…
tells,Carregando…
lies,Carregando…
nor,Carregando…
pulled,Carregando…
hanging,pendurado
speed,Carregando…
stories,Carregando…
health,Carregando…
advice,Carregando…
held,Carregando…
uh-huh,Carregando…
murdered,Carregando…
beyond,Carregando…
rule,Carregando…
hardly,dificilmente
possibly,Carregando…
inspector,Carregando…
cousin,primo
trial,Carregando…
emergency,Carregando…
ought,deveria
eddie,Carregando…
somehow,Carregando…
hearing,Carregando…
states,Carregando…
account,conta
spoke,Carregando…
file,Carregando…
understood,Carregando…
angel,Carregando…
tape,fita
milk,Carregando…
powerful,Carregando…
weapons,Carregando…
practice,Carregando…
manager,Carregando…
pardon,Carregando…
vote,voto
jake,Carregando…
national,Carregando…
career,Carregando…
minister,Carregando…
super,Carregando…
taught,Carregando…
robert,Carregando…
biggest,Carregando…
plays,tocam
natural,Carregando…
dancing,Carregando…
copy,Carregando…
plus,Carregando…
martin,Carregando…
cake,bolo
freedom,Carregando…
among,Carregando…
breath,Carregando…
operation,Operação
chris,Carregando…
crew,equipe
challenge,desafio
market,Carregando…
meat,carne
towards,em direção a
bringing,trazendo
dropped,Carregando…
student,Carregando…
lied,Carregando…
strength,força
size,Carregando…
breathe,Carregando…
color,Carregando…
monster,Carregando…
loud,alto
photo,Carregando…
aw,Carregando…
nearly,Carregando…
sight,Carregando…
greatest,Carregando…
games,Carregando…
bridge,ponte
dressed,Carregando…
arrested,preso
horrible,horrível
coach,Carregando…
planning,Carregando…
checked,verificado
breaking,Carregando…
noticed,Carregando…
fantastic,Carregando…
screams,Carregando…
serve,Carregando…
ideas,Carregando…
investigation,Carregando…
center,Carregando…
older,mais velho
pack,Carregando…
soldiers,Carregando…
nonsense,Absurdo
doc,Carregando…
project,Carregando…
training,Carregando…
example,Carregando…
trick,Carregando…
prepared,preparado
science,Carregando…
united,Carregando…
travel,viagem
incredible,incrível
grandpa,Carregando…
paying,Carregando…
character,Carregando…
teeth,dentes
criminal,Carregando…
charles,Carregando…
chinese,chinês
truly,verdadeiramente
honestly,Carregando…
bro,Carregando…
survive,Carregando…
bobby,bobby
target,alvo
feed,Carregando…
nurse,Carregando…
e,Carregando…
fake,falso
records,Carregando…
breathing,Carregando…
sweetie,docinho
numbers,Carregando…
oil,óleo
suicide,suicídio
belong,pertencer
whoo,Carregando…
perfectly,Carregando…
amy,amy
forgotten,esquecido
remain,permanecer
original,Carregando…
papa,papai
onto,para
concerned,Carregando…
credit,Carregando…
ugh,Carregando…
invited,convidamos
discuss,Carregando…
research,Carregando…
easier,mais fácil
view,visualizar
chair,cadeira
hurts,Carregando…
strike,batida
roger,Carregando…
fill,Carregando…
condition,Carregando…
mountain,Carregando…
dr,Carregando…
nowhere,Carregando…
sheriff,xerife
kim,Kim
turning,girando
brown,Carregando…
recognize,Carregando…
heads,Carregando…
audience,público
all,todos
jealous,Carregando…
pretend,Carregando…
society,Carregando…
finding,Carregando…
shirt,Carregando…
comfortable,confortável
meaning,Carregando…
guest,convidado
pieces,Carregando…
dry,seco
letting,Carregando…
began,Carregando…
aye,Carregando…
jeff,Carregando…
female,fêmea
release,Carregando…
ho,Carregando…
cards,Carregando…
pray,rezar
unfortunately,infelizmente
balls,Carregando…
destroyed,destruído
ended,Carregando…
universe,universo
prepare,Carregando…
opinion,Carregando…
movies,Carregando…
soldier,Carregando…
wash,Carregando…
program,programa
heat,Carregando…
usual,Carregando…
ticket,Carregando…
stolen,Carregando…
prefer,Carregando…
aware,Carregando…
surely,Carregando…
male,Carregando…
base,base
matters,assuntos
lift,elevador
lab,Carregando…
command,Carregando…
proof,Carregando…
cream,creme
selling,vendendo
believed,Carregando…
create,Carregando…
h,Carregando…
afford,Carregando…
sunday,Carregando…
total,Carregando…
dumb,Carregando…
threw,Carregando…
france,Carregando…
birth,Carregando…
created,criada
realized,percebeu
british,britânico
noise,barulho
nuts,Carregando…
students,Carregando…
birds,Carregando…
social,social
brilliant,Carregando…
bodies,corpos
tie,Carregando…
opened,Carregando…
ours,Carregando…
bucks,Carregando…
kevin,Kevin
mister,Carregando…
ugly,Carregando…
ryan,Ryan
focus,Carregando…
dan,Carregando…
opens,Carregando…
exist,Carregando…
followed,seguido
england,Carregando…
draw,Carregando…
purpose,propósito
letters,cartas
daniel,Daniel
opening,abertura
bullet,Carregando…
anna,Ana
lately,ultimamente
stayed,Carregando…
falling,Carregando…
season,Carregando…
ends,termina
suggest,sugerir
joy,Carregando…
distance,Carregando…
responsibility,Carregando…
whenever,Carregando…
issue,Carregando…
thousands,Carregando…
process,Carregando…
sword,Carregando…
shower,Carregando…
weak,Carregando…
fucked,fodido
lonely,Carregando…
happiness,Carregando…
eric,Carregando…
tiny,Carregando…
desk,mesa
pool,Carregando…
property,propriedade
forced,Carregando…
settle,Carregando…
indistinct,Carregando…
weight,Carregando…
received,Carregando…
gang,gangue
bite,Carregando…
friday,Carregando…
disappeared,desaparecido
interview,Carregando…
expecting,Carregando…
kinda,tipo
surgery,Carregando…
horses,cavalos
mayor,Carregando…
babe,Carregando…
ancient,Carregando…
handsome,bonito
thomas,Carregando…
saturday,sábado
staff,funcionários
lines,Carregando…
unit,Carregando…
fan,Carregando…
gentleman,Carregando…
introduce,Carregando…
fate,Carregando…
split,Carregando…
recently,recentemente
expected,Carregando…
add,adicionar
ordered,Carregando…
slowly,Carregando…
alarm,Carregando…
member,Carregando…
slept,Carregando…
signed,assinado
enter,Carregando…
spanish,Carregando…
garden,Carregando…
brings,traz
brave,Carregando…
pig,Carregando…
model,Carregando…
finger,Carregando…
medicine,Carregando…
access,acesso
failed,Carregando…
flat,plano
easily,facilmente
discovered,Carregando…
based,Carregando…
screw,Carregando…
insane,Carregando…
cares,Carregando…
weather,Carregando…
fingers,Carregando…
san,Carregando…
scott,Carregando…
path,Carregando…
soft,Carregando…
harm,Carregando…
style,Carregando…
community,comunidade
sees,Carregando…
basically,basicamente
al,Carregando…
signal,Carregando…
nope,Carregando…
spare,Carregando…
speech,Carregando…
covered,Carregando…
shake,sacudir
loose,solto
snow,Carregando…
russian,russo
lake,lago
bright,Carregando…
roof,Carregando…
ohh,Carregando…
sending,Carregando…
paint,Carregando…
remind,Carregando…
pal,Carregando…
naked,Carregando…
post,publicar
sugar,Carregando…
heading,Carregando…
streets,Carregando…
damage,Carregando…
silence,Carregando…
doors,Carregando…
pete,Pete
ed,Carregando…
success,Carregando…
wet,Carregando…
nah,Carregando…
amount,quantia
members,Carregando…
kate,Carregando…
manage,gerenciar
safety,Carregando…
returned,Carregando…
harder,mais difícil
fbi,FBI
block,Carregando…
